id	chosen_variant	name_one	place
1	Schlesier & Schweikhardt	Alsatica-Verlag Schlesier & Schweikhardt, Strassburg	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Straßburg. Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Straßburg. Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt, Straßburg i. E.	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt, Strassburg	Strasbourg
1	Schlesier & Schweikhardt	Straßburg, Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Schlesier & Scwheikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Scwheikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Straßburg. Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt, Straßburg	Strasbourg
1	Schlesier & Schweikhardt	Verlag von Schlesier & Schweikhardt, Straßburg	Strasbourg
2	L. Jaggi-Reiss	L. Jaggi-Reiss, Gundershoffen	Strasbourg
2	L. Jaggi-Reiss	Edition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin)	Strasbourg
2	L. Jaggi-Reiss	Edition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin)	Strasbourg
2	L. Jaggi-Reiss	Édition de théâtre et de musique L. Jaggi-Reiss Gundershoffen (Bas-Rhin)	Strasbourg
2	L. Jaggi-Reiss	Gundershoffen, Édition de théatre et de musique L. Jaggi-Reiss	Strasbourg
2	L. Jaggi-Reiss	Édition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin)	Strasbourg
3	F. X. Le Roux	Druck und Verlag von F. X. Le Roux & Cie, Strasbourg	Strasbourg
3	F. X. Le Roux	F. X Le Roux et Cie, Strasbourg	Strasbourg
3	F. X. Le Roux	F. X Le Roux et Cie, Strasbourg	Strasbourg
3	F. X. Le Roux	Verlag von F. X. Le Roux u. Co.	Strasbourg
3	F. X. Le Roux	Verlag von F. X. Le Roux u. Co.	Strasbourg
3	F. X. Le Roux	F. X. Le Roux & Cie, Strasbourg	Strasbourg
3	F. X. Le Roux	F. X. Le Roux & Cie Strasbourg	Strasbourg
3	F. X. Le Roux	Druck und Verlag von F. X. Le Roux & Cie., S. A.	Strasbourg
4	Sostralib	Librairie « Sostralib », Strasbourg	Strasbourg
5	C. A. Vomhoff	Buch- und Kunstverlag C. A. Vomhoff	Strasbourg
5	C. A. Vomhoff	Buch- und Kunstverlag C. A. Vomhoff, Straßburg i. E.	Strasbourg
5	C. A. Vomhoff	C. A. Vomhoff, Verlag	Strasbourg
5	C. A. Vomhoff	Verlag von Paul Vomhoff, Straßburg i. Els.	Strasbourg
5	C. A. Vomhoff	Buch- und Kunstverlag C. A. Vomhoff	Strasbourg
5	C. A. Vomhoff	Verlag von C. A. Vomhoff	Strasbourg
5	C. A. Vomhoff	Buech- un Kunschtverlaa C. A. Vomhoff, Stroßburj i. E.	Strasbourg
6	Gutemberg, J. Charles Schneider	Imprimeur et Éditeur Imprimerie Gutemberg, J. Charles Schneider	Strasbourg
7	Ernest Finck	Verlag von E. Finck, Alsatica-Verlag, Strasbourg	Strasbourg
7	Ernest Finck	Druck und Verlauu vun E. Finck, Alsatia-Verlauu, Strooßburri	Strasbourg
7	Ernest Finck	Verlag von E. Finck, Alsatica-Verlag, Strasbourg	Strasbourg
7	Ernest Finck	Buchhandlung Ernest Finck, Straßburg	Strasbourg
7	Ernest Finck	Librairie Ernest Finck, Strasbourg	Strasbourg
7	Ernest Finck	Buchhandlung Ernest Finck, Blauwolkengasse 27, Strasbourg	Strasbourg
80	Elsassische Aktien-Gesellschaft für Buchhandel und Publicität, vormals A. Ammel	Elsassische Aktien-Gesellschaft für Buchhandel und Publicität, vormals A. Ammel	Strasbourg
8	A. Ammel	A. Ammel, Verlagsbuchhandlung	Strasbourg
8	A. Ammel	A. Ammel, Verlagsbuchhandlung	Strasbourg
8	A. Ammel	A. Ammel, Verlagsbuchhandlung	Strasbourg
9	Buchdruckerei des „Elsässer“	Buchdruckerei des „Elsässer“, Straßburg	Strasbourg
9	Buchdruckerei des „Elsässer“	Buchdruckerei des „Elsässer“, Straßburg	Strasbourg
10	Société Alsacienne d’Édition	Société Alsacienne d'Édition (Alsatia) S. A., Colmar	Colmar
10	Société Alsacienne d’Édition	Société Alsacienne d'Édition (Alsatia), Colmar	Colmar
10	Société Alsacienne d’Édition	Société Alsacienne d'Edition (Alsatia) S. A.	Colmar
10	Société Alsacienne d’Édition	Société Alsacienne d'Édition (Alsatia) S. A., Colmar	Colmar
10	Société Alsacienne d’Édition	Société Alsacienne d'Edtion „Alsatia“ S. A.	Colmar
10	Société Alsacienne d’Édition	Colmar, Société Alsacienne d'Édition Alsatia, S. A. 	Colmar
10	Société Alsacienne d’Édition	Société alsacienne d'édition (Alsatia)	Colmar
10	Société Alsacienne d’Édition	Société Alsacienne d'Edition (Alsatia) S. A.	Colmar
10	Société Alsacienne d’Édition	Alsatia-Verlag, Kolmar i. Elsass	Colmar
10	Société Alsacienne d’Édition	Société d'édition Alsatia S.A.	Colmar
11	J. H. Ed. Heitz (Heitz & Mündel)	Druck von J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
11	J. H. Ed. Heitz (Heitz & Mündel)	J. H. Ed. Heitz (Heitz & Mündel), Straßburg	Strasbourg
12	Buckdruckerei von Wwe. J. B. Jung	Buckdruckerei von Wwe. J. B. Jung	Colmar
13	Salvator-Verlag	Salvator-Verlag Múlhausen 409	Mulhouse
13	Salvator-Verlag	Salvator-Verlag Múlhausen	Mulhouse
13	Salvator-Verlag	Salvator Verlag Mülhausen	Mulhouse
13	Salvator-Verlag	Salvator Verlag Mülhausen	Mulhouse
13	Salvator-Verlag	Salvator-Verlag Múlhausen	Mulhouse
14	Verlag des Elsässischen Theaters Strassburg	Verlag des Elsässischen Theaters Strassburg	Strasbourg
14	Verlag des Elsässischen Theaters Strassburg	Verlag des Elsässischen Theaters Straßburg	Strasbourg
14	Verlag des Elsässischen Theaters Strassburg	Verlag des Elsässischen Theaters Straßburg, Druck von Gebr. Riedel (Bürger-Zeitung), Straßburg	Strasbourg
15	Imprimerie de la Bourse	Imprimerie de la Bourse, Strasbourg	Strasbourg
16	G. Bisey	Verlag von G. Bisey, Mühlhausen	Mulhouse
17	Buchdr. R. Schultz & Comp.	Buchdr. R. Schultz & Comp.	Strasbourg
18	Theater & Musikverlag Rouffach	Theater- und Musik-Verlag, Rouffach, Iprimerie Keller-Immelé	Rouffach (Haut-Rhin)
18	Theater & Musikverlag Rouffach	Theater & Musikverlag Rouffach Imprimerie Keller-Immele	Rouffach (Haut-Rhin)
18	Theater & Musikverlag Rouffach	Theater Verlag  Rouffach, Imprimerie J. Keller-Immelé	Rouffach (Haut-Rhin)
19	Paul Schweikhardt	Verlag von Paul Schweikhardt, Straßburg	Strasbourg
19	Paul Schweikhardt	Verlag von Paul Schweikhardt, Straßburg	Strasbourg
20	Kommissionsverlag von Josef Singer, Verlagsbuchhandlung	Kommissionsverlag von Josef Singer, Verlagsbuchhandlung	Strasbourg
21	Druck u. Commissionsverlag von A. Bartl	Druck u. Commissionsverlag von A. Bartl, Schiltigheim	Schiltigheim (Bas-Rhin)
22	Jul. Schies (Selbstverlag)	Herausgebeben von Jul. Schies Gesellenpräses. Selbstverlag des Herausgebers, Straßburg	Strasbourg
23	Imprimerie du Nouveau Journal de Strasbourg, S.à.r.l	Druck und Verlag: Imprimerie du Nouveau Journal de Strasboug S. à. r. l.	Strasbourg
23	Imprimerie du Nouveau Journal de Strasbourg, S.à.r.l	Imprimerie du Nouveau Journal de Strasbourg, S.à.r.l, Strasbourg	Strasbourg
23	Imprimerie du Nouveau Journal de Strasbourg, S.à.r.l	Imprimerie du Nouveau Journal de Strasbourg, S.à.r.l, Strasbourg	Strasbourg
24	S. Brunschweig	Buchdrukerei S. Brunschweig in Kappoltsweiler (Ober-Elsaß)	Kappoltsweiler (Haut-Rhin)
25	J. Brinkmann	Buchdruckerei von J. Brinkmann, Mühlhausen i. E.	Mulhouse
25	J. Brinkmann	Buchdruckerei von J. Brinkmann, Mühlhausen i. E.	Mulhouse
26	A. Schneider	Verlag von A. Schneider, Kleberplatz, 17, Straßburg	Strasbourg
27	E. Gottlieb	Druck von E. Gottlieb, Schiltigheim	Schiltigheim
28	A. Willm	Imprimerie A. Willm – Niderbronn-les-Bains	Niederbronn-les-Bains (Bas-Rhin)
29	Karl J. Trübner	Karl J. Trübner	Strasbourg
30	Neue Straßburger Verlagsanstalt G. m. b. H. (Straßburger Neue Zeitung)	Druck und Verlag der Neuen Straßburger Verlagsanstalt G. m. b. H. (Straßburger Neue Zeitung)	
31	E. Gottlieb	E. Gottlieb	Schiltigheim (Bas-Rhin)
